queries 
01/19/26 10:36:05 AM 
 last 1 week 
 10080 
Database: : C2L_DMS 
Number of queries: 100 
,Query Id,Query,Elapsed Time,Number of Sessions,Number of Executions,Average Response Time,Weight (%)
127,02000000F8B0AF04189657FD7ED962C22C29E8F2323B1DAB0000000000000000000000000000000000000000,"(@P0 nvarchar(?),@P1 nvarchar(?),@P2 bigint,@P3 bigint)select k1.kpiresultseq, k1.guid, k1.postingDt, k1.productionEffectiveDt, k1.definitionCd, k1.versionNum, k1.definitionTypeCd,k1.definitionSubTypeCd, k1.individualFl, k1.resultValue, k1.dtRefGuid, k1.timeDimensionSeq, k1.zeroMthFinJoinTimeSeq, k1.zeroMthProdJoinTimeSeq, k1.zeroMthCalJoinTimeSeq, k1.zeroMthFinDesigTimeSeq, k1.zeroMthProdDesigTimeSeq, k1.zeroMthCalDesigTimeSeq, k1.productionSharingPerc, k1.transferSharingPerc, k1.agentHistorySeq, k1.kpiIndicatorFl, k1.subKPIsTypeCd, k1.baseKPICd, k1.baseKPISubTypeCd, k1.baseKPISeq, k1.countOfActionCd, k1.hierarchyTypeCd, k1.designationCd, k1.agentStatusCd, k1.recruitmentCategoryCd, k1.tier, k1.reportingLinkCd, k1.sourceDesignationCd, k1.sourceChannelCd, k1.sourceAgencyId, k1.kpiFrequencyCd, k1.dormantStatusFl, k1.classificationCd, k1.subordinateDesignationCd, k1.subordinateClassifyCd,k1.subordinateAgentStatusCd, k1.subRecruitmentCatgCd, k1.subordinateType, k1.cmsPolicyInterfaceSeq, k1.groupProcessedFl, k1.agentId, k1.processTypeCd, k1.numeratorValue, k1.denominatorValue, k1.reinstatementPerc, k1.actionFieldTypeCd , k1.zeroQtrFinJoinTimeSeq , k1.zeroQtrProdJoinTimeSeq , k1.zeroQtrCalJoinTimeSeq , k1.zeroQtrFinDesigTimeSeq , k1.zeroQtrProdDesigTimeSeq ,k1.zeroQtrCalDesigTimeSeq , k1.zeroHyrFinJoinTimeSeq , k1.zeroHyrProdJoinTimeSeq , k1.zeroHyrCalJoinTimeSeq , k1.zeroHyrFinDesigTimeSeq , k1.zeroHyrProdDesigTimeSeq , k1.zeroHyrCalDesigTimeSeq , k1.zeroYrFinJoinTimeSeq , k1.zeroYrProdJoinTimeSeq , k1.zeroYrCalJoinTimeSeq , k1.zeroYrFinDesigTimeSeq , k1.zeroYrProdDesigTimeSeq , k1.zeroYrCalDesigTimeSeq ,k1.POLICYISSUEDT , k1.logindt,k1.premiumDueDt from KPIResult k1 where ? = ? and k1.definitionCd = @P0 and k1.resultValue not in (?,?) and k1.agentId in ( @P1 ) and k1.timeDimensionSeq between @P2 and @P3 order by k1.kpiResultSeq asc ",0h 14m 39s,14,127,0h 0m 6.92s,0
22714,0200000015582C229997344E41B052446D5118493223AA1B0000000000000000000000000000000000000000,"(@P0 nvarchar(?))SELECT AGENTSEQ, AGENTID, AGENTNAME, CHANNELCD, INTERMEDSUBCATCD, DESIGNATIONCD, LEVEL, AGENTSTATUSCD, EMAILADDRESS, CONTACTNUM, COURSECODE, BRANCHID, BRANCHNAME, IDENTITYNUM from AGENTINFORMATIONLOGIN WHERE AGENTID = @P0 ",0h 14m 6s,42,22714,0h 0m 0.04s,0
161,02000000795DD31C024CC9A88F118B3D403383FFF6BD22730000000000000000000000000000000000000000,"(@P0 nvarchar(?),@P1 nvarchar(?),@P2 nvarchar(?),@P3 nvarchar(?),@P4 nvarchar(?),@P5 nvarchar(?),@P6 nvarchar(?),@P7 nvarchar(?),@P8 nvarchar(?),@P9 nvarchar(?),@P10 nvarchar(?),@P11 nvarchar(?),@P12 nvarchar(?),@P13 nvarchar(?),@P14 nvarchar(?),@P15 nvarchar(?),@P16 nvarchar(?),@P17 nvarchar(?),@P18 nvarchar(?),@P19 nvarchar(?),@P20 nvarchar(?),@P21 nvarchar(?),@P22 nvarchar(?))select count(*) as col_0_0_, foldertask0_.FOLDERCD as col_1_0_ from FOLDERTASK foldertask0_ where (folderCd in( @P0 , @P1 , @P2 , @P3 , @P4 , @P5 , @P6 , @P7 , @P8 , @P9 , @P10 , @P11 , @P12 , @P13 , @P14 , @P15 , @P16 , @P17 , @P18 , @P19 , @P20 , @P21 , @P22 ))and(foldertask0_.FOLDERTASKSTATUSCD=? )and(foldertask0_.ENTITYSEQ is not null ) group by foldertask0_.FOLDERCD",0h 13m 52s,28,161,0h 0m 5.17s,0
178,02000000A645180F22F6701B87A5A91A9A12E94F7FCFC91A0000000000000000000000000000000000000000,"(@P0 nvarchar(?),@P1 nvarchar(?),@P2 nvarchar(?),@P3 nvarchar(?),@P4 nvarchar(?),@P5 nvarchar(?),@P6 nvarchar(?),@P7 nvarchar(?),@P8 nvarchar(?),@P9 nvarchar(?),@P10 nvarchar(?),@P11 nvarchar(?),@P12 nvarchar(?),@P13 nvarchar(?),@P14 nvarchar(?),@P15 nvarchar(?),@P16 nvarchar(?),@P17 nvarchar(?),@P18 nvarchar(?),@P19 nvarchar(?),@P20 nvarchar(?),@P21 nvarchar(?),@P22 nvarchar(?),@P23 nvarchar(?),@P24 nvarchar(?),@P25 nvarchar(?),@P26 nvarchar(?),@P27 nvarchar(?),@P28 nvarchar(?),@P29 nvarchar(?),@P30 nvarchar(?),@P31 nvarchar(?),@P32 nvarchar(?),@P33 nvarchar(?),@P34 nvarchar(?),@P35 nvarchar(?),@P36 nvarchar(?),@P37 nvarchar(?),@P38 nvarchar(?),@P39 nvarchar(?),@P40 nvarchar(?),@P41 nvarchar(?),@P42 nvarchar(?),@P43 nvarchar(?),@P44 nvarchar(?),@P45 nvarchar(?),@P46 nvarchar(?),@P47 nvarchar(?),@P48 nvarchar(?),@P49 nvarchar(?),@P50 nvarchar(?),@P51 nvarchar(?),@P52 nvarchar(?),@P53 nvarchar(?),@P54 nvarchar(?),@P55 nvarchar(?),@P56 nvarchar(?),@P57 nvarchar(?),@P58 nvarchar(?),@P59 nvarchar(?),@P60 nvarchar(?),@P61 nvarchar(?),@P62 nvarchar(?),@P63 nvarchar(?),@P64 nvarchar(?),@P65 nvarchar(?),@P66 nvarchar(?),@P67 nvarchar(?),@P68 nvarchar(?),@P69 nvarchar(?),@P70 nvarchar(?),@P71 nvarchar(?),@P72 nvarchar(?),@P73 nvarchar(?),@P74 nvarchar(?),@P75 nvarchar(?),@P76 nvarchar(?),@P77 nvarchar(?),@P78 nvarchar(?),@P79 nvarchar(?),@P80 nvarchar(?),@P81 nvarchar(?),@P82 nvarchar(?),@P83 nvarchar(?),@P84 nvarchar(?),@P85 nvarchar(?),@P86 nvarchar(?),@P87 nvarchar(?),@P88 nvarchar(?),@P89 nvarchar(?),@P90 nvarchar(?),@P91 nvarchar(?),@P92 nvarchar(?),@P93 nvarchar(?),@P94 nvarchar(?),@P95 nvarchar(?),@P96 nvarchar(?),@P97 nvarchar(?),@P98 nvarchar(?),@P99 nvarchar(?))select interfaceq0_.INTERFACEQUEUESEQ as INTERFAC1_285_0_, intpolicyd1_.INTPOLICYSEQ as INTPOLIC1_295_1_, intpolicyc2_.INTPOLICYCOMPONENTSEQ as INTPOLIC1_259_2_, intpolicyp3_.INTPOLICYPRODUCTAGENTSEQ as INTPOLIC1_286_3_, intpolicyc4_.INTPOLICYCLIENTINSUREDSEQ as INTPOLIC1_305_4_, interfaceq0_.versionid as versionid285_0_, interfaceq0_.guid as guid285_0_, interfaceq0_.INTERFACEHEADERSEQ as INTERFAC4_285_0_, interfaceq0_.PROCESSDATE as PROCESSD5_285_0_, interfaceq0_.TABLESOURCE as TABLESOU6_285_0_, interfaceq0_.TRANSACTIONNUMBER as TRANSACT7_285_0_, interfaceq0_.POLICYNUM as POLICYNUM285_0_, interfaceq0_.SOURCESYSTEM as SOURCESY9_285_0_, interfaceq0_.STATUS as STATUS285_0_, interfaceq0_.REFTRANNO as REFTRANNO285_0_, interfaceq0_.ALTERATIONTYPE as ALTERAT12_285_0_, interfaceq0_.LOTNO as LOTNO285_0_, interfaceq0_.ERRORMESSAGE as ERRORME14_285_0_, intpolicyd1_.versionid as versionid295_1_, intpolicyd1_.guid as guid295_1_, intpolicyd1_.POLICYNUM as POLICYNUM295_1_, intpolicyd1_.SOURCESYSTEM as SOURCESY5_295_1_, intpolicyd1_.POLICYTYPE as POLICYTYPE295_1_, intpolicyd1_.ISSUEDT as ISSUEDT295_1_, intpolicyd1_.COMMENCEMENTDT as COMMENCE8_295_1_, intpolicyd1_.POLICYTERM as POLICYTERM295_1_, intpolicyd1_.POLICYBRANCHCD as POLICYB10_295_1_, intpolicyd1_.AGENTID as AGENTID295_1_, intpolicyd1_.MONAGENTID as MONAGENTID295_1_, intpolicyd1_.POLICYSTATUSCD as POLICYS13_295_1_, intpolicyd1_.OWNERPARTYSEQ as OWNERPA14_295_1_, intpolicyd1_.LIFEASSUREDPARTYSEQ as LIFEASS15_295_1_, intpolicyd1_.INTERFACEHEADERSEQ as INTERFA16_295_1_, intpolicyd1_.UPLOADSTATUS as UPLOADS17_295_1_, intpolicyd1_.ERRORDESCRIPTION as ERRORDE18_295_1_, intpolicyd1_.ALTERATIONTYPE as ALTERAT19_295_1_, intpolicyd1_.PTRNEFF as PTRNEFF295_1_, intpolicyd1_.TRANSATION_DATE as TRANSATION21_295_1_, intpolicyd1_.LOGINDT as LOGINDT295_1_, intpolicyd1_.CURRENCYCD as CURRENCYCD295_1_, intpolicyd1_.PREMIUMSTATUS as PREMIUM24_295_1_, intpolicyd1_.SELFCONTRACTINDICATORFL as SELFCON25_295_1_, intpolicyd1_.KEYMANPOLICYFL as KEYMANP26_295_1_, intpolicyd1_.EMPLOYEEFL as EMPLOYEEFL295_1_, intpolicyd1_.NOL as NOL295_1_, intpolicyd1_.RIDERCOUNT as RIDERCOUNT295_1_, intpolicyd1_.EXCHANGERATE as EXCHANG30_295_1_, intpolicyd1_.REFTRANNO as REFTRANNO295_1_, intpolicyd1_.PASBUSINESSDATE as PASBUSI32_295_1_, intpolicyd1_.CAMPAIGNCODE as CAMPAIG33_295_1_, intpolicyd1_.FREELOOKCANCELLATIONDT as FREELOO34_295_1_, intpolicyc2_.versionid as versionid259_2_, intpolicyc2_.guid as guid259_2_, intpolicyc2_.POLICYNUM as POLICYNUM259_2_, intpolicyc2_.SOURCESYSTEM as SOURCESY5_259_2_, intpolicyc2_.PRODUCTCD as PRODUCTCD259_2_, intpolicyc2_.PREMIUMPAYINGTERM as PREMIUMP7_259_2_, intpolicyc2_.COMMENCEMENTDT as COMMENCE8_259_2_, intpolicyc2_.ISSUEDT as ISSUEDT259_2_, intpolicyc2_.ANNUALIZEDPREMIUMAMT as ANNUALI10_259_2_, intpolicyc2_.MODALPREMIUMAMT as MODALPR11_259_2_, intpolicyc2_.EXTRAPREMIUMAMT as EXTRAPR12_259_2_, intpolicyc2_.SUMINSURRED as SUMINSU13_259_2_, intpolicyc2_.BILLFREQ as BILLFREQ259_2_, intpolicyc2_.PRODUCTSTATUSCD as PRODUCT15_259_2_, intpolicyc2_.INTERFACEHEADERSEQ as INTERFA16_259_2_, intpolicyc2_.PRODUCTTYPECD as PRODUCT17_259_2_, intpolicyc2_.PRODUCTVER as PRODUCTVER259_2_, intpolicyc2_.PREMIUMTYPECD as PREMIUM19_259_2_, intpolicyc2_.SUBTRANCHENO as SUBTRAN20_259_2_, intpolicyc2_.PREMIUMPAYINGTERMUNITCD as PREMIUM21_259_2_, intpolicyc2_.FIRSTPREMIUMAMOUNT as FIRSTPR22_259_2_, intpolicyc2_.DERIVEDENTRYAGE as DERIVED23_259_2_, intpolicyc2_.REFTRANNO as REFTRANNO259_2_, intpolicyc2_.PASBUSINESSDATE as PASBUSI25_259_2_, intpolicyp3_.versionid as versionid286_3_, intpolicyp3_.guid as guid286_3_, intpolicyp3_.SUBTRANCHENO as SUBTRANC4_286_3_, intpolicyp3_.AGENTID as AGENTID286_3_, intpolicyp3_.COMMISSIONSPLIT as COMMISSI6_286_3_, intpolicyp3_.PRODUCTIONSPLIT as PRODUCTI7_286_3_, intpolicyp3_.REFTRANNO as REFTRANNO286_3_, intpolicyp3_.PASBUSINESSDATE as PASBUSIN9_286_3_, intpolicyp3_.INTERFACEHEADERSEQ as INTERFA10_286_3_, intpolicyc4_.versionid as versionid305_4_, intpolicyc4_.guid as guid305_4_, intpolicyc4_.POLICYNUM as POLICYNUM305_4_, intpolicyc4_.CLIENTNO as CLIENTNO305_4_, intpolicyc4_.CLIENTTYPE as CLIENTTYPE305_4_, intpolicyc4_.CLIENTNAME as CLIENTNAME305_4_, intpolicyc4_.REFTRANNO as REFTRANNO305_4_, intpolicyc4_.PASBUSINESSDATE as PASBUSIN9_305_4_, intpolicyc4_.INTERFACEHEADERSEQ as INTERFA10_305_4_ from INTERFACEQUEUE interfaceq0_, INTPOLICY intpolicyd1_, INTPOLICYCOMPONENT intpolicyc2_, INTPOLICYPRODUCTAGENTLINK intpolicyp3_, INTPOLICYCLIENTINSURED intpolicyc4_ where (interfaceq0_.POLICYNUM in( @P0 , @P1 , @P2 , @P3 , @P4 , @P5 , @P6 , @P7 , @P8 , @P9 , @P10 , @P11 , @P12 , @P13 , @P14 , @P15 , @P16 , @P17 , @P18 , @P19 , @P20 , @P21 , @P22 , @P23 , @P24 , @P25 , @P26 , @P27 , @P28 , @P29 , @P30 , @P31 , @P32 , @P33 , @P34 , @P35 , @P36 , @P37 , @P38 , @P39 , @P40 , @P41 , @P42 , @P43 , @P44 , @P45 , @P46 , @P47 , @P48 , @P49 , @P50 , @P51 , @P52 , @P53 , @P54 , @P55 , @P56 , @P57 , @P58 , @P59 , @P60 , @P61 , @P62 , @P63 , @P64 , @P65 , @P66 , @P67 , @P68 , @P69 , @P70 , @P71 , @P72 , @P73 , @P74 , @P75 , @P76 , @P77 , @P78 , @P79 , @P80 , @P81 , @P82 , @P83 , @P84 , @P85 , @P86 , @P87 , @P88 , @P89 , @P90 , @P91 , @P92 , @P93 , @P94 , @P95 , @P96 , @P97 , @P98 , @P99 ))and(interfaceq0_.STATUS in(? , ?))and(interfaceq0_.TABLESOURCE=? )and(intpolicyd1_.INTPOLICYSEQ=interfaceq0_.TRANSACTIONNUMBER )and(intpolicyd1_.INTERFACEHEADERSEQ=interfaceq0_.INTERFACEHEADERSEQ )and(intpolicyd1_.POLICYNUM=interfaceq0_.POLICYNUM )and(intpolicyc2_.POLICYNUM=intpolicyd1_.POLICYNUM )and(intpolicyc2_.REFTRANNO=intpolicyd1_.REFTRANNO )and(intpolicyc2_.INTERFACEHEADERSEQ=intpolicyd1_.INTERFACEHEADERSEQ )and(intpolicyp3_.SUBTRANCHENO=intpolicyc2_.SUBTRANCHENO )and(intpolicyp3_.REFTRANNO=intpolicyd1_.REFTRANNO )and(intpolicyp3_.INTERFACEHEADERSEQ=intpolicyd1_.INTERFACEHEADERSEQ )and(intpolicyc4_.POLICYNUM=intpolicyd1_.POLICYNUM )and(intpolicyc4_.REFTRANNO=intpolicyd1_.REFTRANNO )and(intpolicyc4_.INTERFACEHEADERSEQ=intpolicyd1_.INTERFACEHEADERSEQ )",0h 13m 27s,40,178,0h 0m 4.53s,0
5841,02000000C5A4D430C481A838AC627D809D7BA4855A2CF7890000000000000000000000000000000000000000,"(@P0 bigint)SELECT JOB_EXECUTION_ID, START_TIME, END_TIME, STATUS, EXIT_CODE, EXIT_MESSAGE, CREATE_TIME, LAST_UPDATED, VERSION from BATCH_JOB_EXECUTION where JOB_INSTANCE_ID = @P0 order by JOB_EXECUTION_ID desc",0h 13m 19s,60,5841,0h 0m 0.14s,0
16,02000000215D1D097AB1E507C09A0A15A51EA05C06BC7EA70000000000000000000000000000000000000000,"(@P1 datetime,@P2 datetime)SELECT *fROM PREMIUM NOLOCK
WHERE [SYSTEMUPDATEDDT] BETWEEN @P1 AND @P2",0h 12m 54s,5,16,0h 0m 48.38s,0
0,02000000F7CAAE38E50E6C53A32580C415E3A1CD64BC02790000000000000000000000000000000000000000,"WITH CTEResults AS
(SELECT
ROW_NUMBER() OVER(ORDER BY A.AGENTCD) AS NOMOR,
A.* FROM
(SELECT
DISTINCT PREMIUMSEQ,
P.POLICYNUM,
CONVERT(VARCHAR(?),P.POLICYISSUEDT,?) [POLICYISSUEDT],
PREM.POLICYYEARINFORCE,
convert(VARCHAR(?),PREM.PREMIUMDUEDT,?) [PREMIUMDUEDT],
CONVERT(VARCHAR(?),PREM.APPROPRIATIONDT,?) [APPROPRIATIONDT],
PREM.APPROPRIATIONAMT,
PS.AGENTCD,
B.AGENTNAME,
PP.PRODUCTCD,
PP.PREMIUMTYPECD,
PREM.PREMIUMSUBTYPECD,
P.POLICYSTATUSCD,
P.SELFCONTRACTINDICATORFL,
CASE
WHEN LEFT(PS.AGENTCD, ?)=? THEN ?
WHEN LEFT(PS.AGENTCD, ?)=? THEN ?
WHEN LEFT(PS.AGENTCD, ?)=? THEN ?
END [CHANNEL]
FROM
POLICY_M P
INNER JOIN POLICYPRODUCT_D PP ON P.POLICYNUM = PP.POLICYNUM
INNER JOIN PREMIUM PREM ON PP.SUBTRANCHENO = PREM.SUBTRANCHENO
INNER JOIN POLICYSERVICING_D PS ON (
P.POLICYNUM = PS.POLICYNUM
AND EFFECTIVEFROMDT &lt;= PREM.APPROPRIATIONDT
AND (
EFFECTIVETODT &gt;= PREM.APPROPRIATIONDT
OR EFFECTIVETODT IS NULL
)
)
INNER JOIN AGENT B ON PS.AGENTCD = B.AGENTID
) A )
SELECT * FROM CTEResults WHERE nomor BETWEEN (? * ? - (?-?)) AND ?*?;",0h 12m 41s,2,0,'-,0
19,02000000759E943A0699A5B5FBC8D0B4E699FBA1CB0B60C80000000000000000000000000000000000000000,"select top ? kpiresultd0_.KPIRESULTSEQ as KPIRESUL1_75_, kpiresultd0_.versionid as versionid75_, kpiresultd0_.guid as guid75_, kpiresultd0_.POSTINGDT as POSTINGDT75_, kpiresultd0_.PRODUCTIONEFFECTIVEDT as PRODUCTI5_75_, kpiresultd0_.DEFINITIONCD as DEFINITI6_75_, kpiresultd0_.VERSIONNUM as VERSIONNUM75_, kpiresultd0_.DEFINITIONTYPECD as DEFINITI8_75_, kpiresultd0_.DEFINITIONSUBTYPECD as DEFINITI9_75_, kpiresultd0_.INDIVIDUALFL as INDIVID10_75_, kpiresultd0_.RESULTVALUE as RESULTV11_75_, kpiresultd0_.DTREFGUID as DTREFGUID75_, kpiresultd0_.TIMEDIMENSIONSEQ as TIMEDIM13_75_, kpiresultd0_.ZEROMTHFINJOINTIMESEQ as ZEROMTH14_75_, kpiresultd0_.ZEROMTHPRODJOINTIMESEQ as ZEROMTH15_75_, kpiresultd0_.ZEROMTHCALJOINTIMESEQ as ZEROMTH16_75_, kpiresultd0_.ZEROMTHFINDESIGTIMESEQ as ZEROMTH17_75_, kpiresultd0_.ZEROMTHPRODDESIGTIMESEQ as ZEROMTH18_75_, kpiresultd0_.ZEROMTHCALDESIGTIMESEQ as ZEROMTH19_75_, kpiresultd0_.ZEROQTRFINJOINTIMESEQ as ZEROQTR20_75_, kpiresultd0_.ZEROQTRPRODJOINTIMESEQ as ZEROQTR21_75_, kpiresultd0_.ZEROQTRCALJOINTIMESEQ as ZEROQTR22_75_, kpiresultd0_.ZEROQTRFINDESIGTIMESEQ as ZEROQTR23_75_, kpiresultd0_.ZEROQTRPRODDESIGTIMESEQ as ZEROQTR24_75_, kpiresultd0_.ZEROQTRCALDESIGTIMESEQ as ZEROQTR25_75_, kpiresultd0_.ZEROHYRFINJOINTIMESEQ as ZEROHYR26_75_, kpiresultd0_.ZEROHYRPRODJOINTIMESEQ as ZEROHYR27_75_, kpiresultd0_.ZEROHYRCALJOINTIMESEQ as ZEROHYR28_75_, kpiresultd0_.ZEROHYRFINDESIGTIMESEQ as ZEROHYR29_75_, kpiresultd0_.ZEROHYRPRODDESIGTIMESEQ as ZEROHYR30_75_, kpiresultd0_.ZEROHYRCALDESIGTIMESEQ as ZEROHYR31_75_, kpiresultd0_.ZEROYRFINJOINTIMESEQ as ZEROYRF32_75_, kpiresultd0_.ZEROYRPRODJOINTIMESEQ as ZEROYRP33_75_, kpiresultd0_.ZEROYRCALJOINTIMESEQ as ZEROYRC34_75_, kpiresultd0_.ZEROYRFINDESIGTIMESEQ as ZEROYRF35_75_, kpiresultd0_.ZEROYRPRODDESIGTIMESEQ as ZEROYRP36_75_, kpiresultd0_.ZEROYRCALDESIGTIMESEQ as ZEROYRC37_75_, kpiresultd0_.PRODUCTIONSHARINGPERC as PRODUCT38_75_, kpiresultd0_.TRANSFERSHARINGPERC as TRANSFE39_75_, kpiresultd0_.AGENTHISTORYSEQ as AGENTHI40_75_, kpiresultd0_.KPIINDICATORFL as KPIINDI41_75_, kpiresultd0_.SUBKPISTYPECD as SUBKPIS42_75_, kpiresultd0_.BASEKPICD as BASEKPICD75_, kpiresultd0_.BASEKPISUBTYPECD as BASEKPI44_75_, kpiresultd0_.BASEKPISEQ as BASEKPISEQ75_, kpiresultd0_.COUNTOFACTIONCD as COUNTOF46_75_, kpiresultd0_.HIERARCHYTYPECD as HIERARC47_75_, kpiresultd0_.DESIGNATIONCD as DESIGNA48_75_, kpiresultd0_.AGENTSTATUSCD as AGENTST49_75_, kpiresultd0_.RECRUITMENTCATEGORYCD as RECRUIT50_75_, kpiresultd0_.TIER as TIER75_, kpiresultd0_.REPORTINGLINKCD as REPORTI52_75_, kpiresultd0_.SOURCEAGENTID as SOURCEA53_75_, kpiresultd0_.SOURCEDESIGNATIONCD as SOURCED54_75_, kpiresultd0_.SOURCECHANNELCD as SOURCEC55_75_, kpiresultd0_.SOURCEAGENCYID as SOURCEA56_75_, kpiresultd0_.KPIFREQUENCYCD as KPIFREQ57_75_, kpiresultd0_.DORMANTSTATUSFL as DORMANT58_75_, kpiresultd0_.CLASSIFICATIONCD as CLASSIF59_75_, kpiresultd0_.SUBORDINATEDESIGNATIONCD as SUBORDI60_75_, kpiresultd0_.SUBORDINATECLASSIFYCD as SUBORDI61_75_, kpiresultd0_.SUBORDINATEAGENTSTATUSCD as SUBORDI62_75_, kpiresultd0_.SUBRECRUITMENTCATGCD as SUBRECR63_75_, kpiresultd0_.SUBORDINATETYPE as SUBORDI64_75_, kpiresultd0_.CMSPOLICYINTERFACESEQ as CMSPOLI65_75_, kpiresultd0_.GROUPPROCESSEDFL as GROUPPR66_75_, kpiresultd0_.AGENTID as AGENTID75_, kpiresultd0_.PROCESSTYPECD as PROCESS68_75_, kpiresultd0_.NUMERATORVALUE as NUMERAT69_75_, kpiresultd0_.DENOMINATORVALUE as DENOMIN70_75_, kpiresultd0_.REINSTATEMENTPERC as REINSTA71_75_, kpiresultd0_.ACTIONFIELDTYPECD as ACTIONF72_75_, kpiresultd0_.EVALUATIONDEFNCD as EVALUAT73_75_, kpiresultd0_.HIERARCHYCOMMFL as HIERARC74_75_, kpiresultd0_.RATE as RATE75_, kpiresultd0_.ROPCLAWBACKFL as ROPCLAW76_75_, kpiresultd0_.POLICYISSUEDT as POLICYI77_75_, kpiresultd0_.LOGINDT as LOGINDT75_, kpiresultd0_.POLICYNUM as POLICYNUM75_, kpiresultd0_.PARTYSEQ as PARTYSEQ75_, kpiresultd0_.OLDKPISEQ as OLDKPISEQ75_, kpiresultd0_.CREATEDDT as CREATEDDT75_, kpiresultd0_.CREATEDBY as CREATEDBY75_, kpiresultd0_.UPDATEDDT as UPDATEDDT75_, kpiresultd0_.UPDATEDBY as UPDATEDBY75_, kpiresultd0_.SYSTEMCREATEDDT as SYSTEMC86_75_, kpiresultd0_.SYSTEMUPDATEDDT as SYSTEMU87_75_, kpiresultd0_.PREMIUMDUEDT as PREMIUM88_75_, kpiresultd0_.PREMIUMCHANGETYPE as PREMIUM89_75_, kpiresultd0_.MULTIPLIER as MULTIPLIER75_, kpiresultd0_.LOTNO as LOTNO75_ from KPIResult kpiresultd0_, DMSDEFINITIONMASTER dmsdefinit1_ where (kpiresultd0_.HIERARCHYCOMMFL=? )and(kpiresultd0_.DEFINITIONCD=dmsdefinit1_.DEFINITIONCD )and(dmsdefinit1_.OVERRIDINGREQUIREDFL=? )and(dmsdefinit1_.VERSIONNUM=(select max(dmsdefinit2_.VERSIONNUM) from DMSDEFINITIONMASTER dmsdefinit2_ where (dmsdefinit2_.DEFINITIONCD=dmsdefinit1_.DEFINITIONCD )))",0h 12m 7s,6,19,0h 0m 38.26s,0
0,020000007D26902D18CA46FAE652F12C23B05A46DD97F1F20000000000000000000000000000000000000000,"select count(?) as jumlah from (SELECT
ROW_NUMBER() OVER(ORDER BY A.AGENTCD) AS NOMOR,
A.* FROM
(SELECT
DISTINCT PREMIUMSEQ,
P.POLICYNUM,
CONVERT(VARCHAR(?),P.POLICYISSUEDT,?) [POLICYISSUEDT],
PREM.POLICYYEARINFORCE,
convert(VARCHAR(?),PREM.PREMIUMDUEDT,?) [PREMIUMDUEDT],
CONVERT(VARCHAR(?),PREM.APPROPRIATIONDT,?) [APPROPRIATIONDT],
PREM.APPROPRIATIONAMT,
PS.AGENTCD,
B.AGENTNAME,
PP.PRODUCTCD,
PP.PREMIUMTYPECD,
PREM.PREMIUMSUBTYPECD,
P.POLICYSTATUSCD,
P.SELFCONTRACTINDICATORFL,
CASE
WHEN LEFT(PS.AGENTCD, ?)=? THEN ?
WHEN LEFT(PS.AGENTCD, ?)=? THEN ?
WHEN LEFT(PS.AGENTCD, ?)=? THEN ?
END [CHANNEL]
FROM
POLICY_M P
INNER JOIN POLICYPRODUCT_D PP ON P.POLICYNUM = PP.POLICYNUM
INNER JOIN PREMIUM PREM ON PP.SUBTRANCHENO = PREM.SUBTRANCHENO
INNER JOIN POLICYSERVICING_D PS ON (
P.POLICYNUM = PS.POLICYNUM
AND EFFECTIVEFROMDT &lt;= PREM.APPROPRIATIONDT
AND (
EFFECTIVETODT &gt;= PREM.APPROPRIATIONDT
OR EFFECTIVETODT IS NULL
)
)
INNER JOIN AGENT B ON PS.AGENTCD = B.AGENTID
) A ) p ",0h 11m 55s,2,0,'-,0
0,0300060063A69C39F3E89600D1B3000001000000000000000000000000000000000000000000000000000000,CS_RPA_OFFICEALLOWANCE,0h 11m 52s,4,0,'-,0
